code,term
E78,Disorders of lipoprotein metabolism and other lipidaemias
E780,Pure hypercholesterolaemia
E781,Pure hyperglyceridaemia
E782,Mixed hyperlipidaemia
E784,Other hyperlipidaemia
E785,"Hyperlipidaemia, unspecified"
E786,Lipoprotein deficiency
E788,Other disorders of lipoprotein metabolism
E789,"Disorder of lipoprotein metabolism, unspecified"
